player_id,player_name,position,team,p10,p25,p50,p75,p90,mean,p_10_plus,p_15_plus,p_20_plus,range_50,range_80,role_uncertainty,uncertainty,games_sample,same_team,team_change,rookie,prior_target_share,prior_rush_share,expected_team_pass_attempts,expected_team_rush_attempts,opponent,matchup_multiplier,matchup_source,opponent_points_allowed,league_points_allowed,calibration
00-0040215,Gavin Bartholomew,TE,MIN,0.0,0.0,1.852959445980407,4.606218433657207,7.807864276954054,3.1660677102820083,0.064,0.0163,0.0041,0.0–4.6,0.0–7.8,0.716,high,0,0,0,1,0.0980519652103919,0.0029393943321044,28.470588235294116,24.11764705882353,GB,0.9561443432248982,prior_points_allowed,12.01968894150304,12.652930716937783,walk_forward_conformal
00-0039355,Luke McCaffrey,WR,WAS,0.0,0.0,2.0630578063189873,6.16640555766751,11.021943183077122,3.158685169274457,0.067,0.01605,0.0035,0.0–6.2,0.0–11.0,0.2022701696081844,low,22,1,0,0,0.0657863901011124,0.0,27.58823529411765,28.470588235294116,PHI,0.966142776190683,prior_points_allowed,31.064032330489447,32.31249226456602,walk_forward_conformal
00-0041579,Seydou Traore,TE,MIA,0.0,0.0,1.8507727990348464,4.550201362028264,7.710262742301366,3.146026120424419,0.0639,0.01675,0.00415,0.0–4.6,0.0–7.7,0.716,high,0,0,0,1,0.0980519652103919,0.0029393943321044,28.176470588235293,25.41176470588235,LV,0.9684849174009208,prior_points_allowed,12.197877291096868,12.652930716937783,walk_forward_conformal
00-0037742,Treylon Burks,WR,WAS,0.0,0.0936954048379966,2.1484331666712913,6.111002611906791,10.264198812049836,3.1416279210148974,0.04855,0.0084,0.0017,0.1–6.1,0.0–10.3,0.1148792018976328,low,33,1,0,0,0.1194533587051899,0.0087040326490434,27.58823529411765,28.470588235294116,PHI,0.966142776190683,prior_points_allowed,31.064032330489447,32.31249226456602,walk_forward_conformal
00-0036754,Brock Wright,TE,DET,0.0,0.0,1.601404046249468,4.474665014313241,8.019694341474583,3.1390280415971334,0.0667,0.01875,0.0051,0.0–4.5,0.0–8.0,0.1036561487365197,low,50,1,0,0,0.0684641848974685,0.0,34.23529411764706,26.0,NO,0.920568745510698,prior_points_allowed,11.506004816916358,12.652930716937783,walk_forward_conformal
00-0041524,Will Kacmarek,TE,MIA,0.0,0.0,1.851201264124294,4.522221810191538,7.48345282059464,3.10771097356015,0.0602,0.01615,0.0042,0.0–4.5,0.0–7.5,0.716,high,0,0,0,1,0.0980519652103919,0.0029393943321044,28.176470588235293,25.41176470588235,LV,0.9684849174009208,prior_points_allowed,12.197877291096868,12.652930716937783,walk_forward_conformal
00-0040879,Matthew Hibner,TE,BAL,0.0,0.0,1.9012687594745925,4.4403899551289205,7.853267246699704,3.096161696985759,0.06955,0.019,0.0047,0.0–4.4,0.0–7.9,0.716,high,0,0,0,1,0.0980519652103919,0.0029393943321044,24.823529411764707,29.823529411764707,IND,1.08,prior_points_allowed,14.548601869616686,12.652930716937783,walk_forward_conformal
00-0035249,Josh Oliver,TE,MIN,0.0,0.0,1.7320569999486295,4.3366509027978895,8.096274504983757,3.0738394732940355,0.06835,0.0197,0.00505,0.0–4.3,0.0–8.1,0.1011807432891846,low,60,1,0,0,0.0672376341195931,0.0,28.470588235294116,24.11764705882353,GB,0.9561443432248982,prior_points_allowed,12.01968894150304,12.652930716937783,walk_forward_conformal
00-0039792,Devontez Walker,WR,BAL,0.0,0.0,1.949228328454496,5.9851231875258035,11.325506689691414,3.072575030484746,0.0741,0.02055,0.00505,0.0–6.0,0.0–11.3,0.3109987535862741,low,11,1,0,0,0.0450465900645972,0.0,24.823529411764707,29.823529411764707,IND,1.0508819185840723,prior_points_allowed,34.18872515001837,32.31249226456602,walk_forward_conformal
00-0040887,Josh Cuevas,TE,BAL,0.0,0.0,1.903686278362582,4.380738979177413,7.767651133430239,3.0388968275161123,0.066,0.01725,0.0046,0.0–4.4,0.0–7.8,0.716,high,0,0,0,1,0.0980519652103919,0.0029393943321044,24.823529411764707,29.823529411764707,IND,1.08,prior_points_allowed,14.548601869616686,12.652930716937783,walk_forward_conformal
00-0040598,Mark Redman,TE,GB,0.0,0.0,1.7686492050279756,4.4266313170510285,7.346705911289781,3.0110989182890284,0.05355,0.01375,0.0031,0.0–4.4,0.0–7.3,0.716,high,0,0,0,1,0.0980519652103919,0.0029393943321044,28.764705882352946,28.941176470588236,MIN,0.92,prior_points_allowed,11.104833244887129,12.652930716937783,walk_forward_conformal
00-0037666,Jalen Tolbert,WR,MIA,0.0,0.0,1.9047044127802688,5.798089527498689,10.6157803894196,2.9421375229862146,0.05695,0.0139,0.0032,0.0–5.8,0.0–10.6,0.3277031854111445,low,46,0,1,0,0.092104197579303,0.0,28.176470588235293,25.41176470588235,LV,1.0101368198266567,prior_points_allowed,32.68627995264727,32.31249226456602,walk_forward_conformal
00-0038498,E.J. Jenkins,TE,PHI,0.0,0.0,1.7361520183323886,4.0753352283119,7.483729980835443,2.931983377928944,0.05905,0.015,0.00405,0.0–4.1,0.0–7.5,0.3809135722047941,medium,3,1,0,0,0.0218033998521803,0.0,29.235294117647054,28.11764705882353,WAS,1.0214477686101064,prior_points_allowed,12.962619912642364,12.652930716937783,walk_forward_conformal
00-0032464,Kalif Raymond,WR,CHI,0.0,0.0,2.0122825697619806,5.828181300974172,9.840691158956616,2.9140719887519397,0.04085,0.00835,0.00135,0.0–5.8,0.0–9.8,0.3355284770482976,medium,77,0,1,0,0.0757297042612188,0.0075649818151012,33.76470588235294,29.705882352941178,CAR,0.9412786723285428,prior_points_allowed,30.1471870024901,32.31249226456602,walk_forward_conformal
00-0040729,Jack Bech,WR,LV,0.0,0.0,2.0154115312513285,5.804060981462671,9.875669456777558,2.89682544156575,0.0388,0.0063,0.00095,0.0–5.8,0.0–9.9,0.2897789920123775,low,14,1,0,0,0.0797808118213671,0.0,30.294117647058822,21.705882352941178,MIA,0.9780494484500668,prior_points_allowed,31.50308201004205,32.31249226456602,walk_forward_conformal
00-0040198,Ollie Gordon II,RB,MIA,0.0,0.1157284170921553,1.599944451330036,5.3760141733311695,10.294456941133678,2.8955906394134137,0.0343,0.0079,0.0014,0.1–5.4,0.0–10.3,0.2400049647668304,low,17,1,0,0,0.0181905173674623,0.1618786243157974,28.176470588235293,25.41176470588235,LV,1.054154772417068,prior_points_allowed,23.267363350614364,21.913128667046664,walk_forward_conformal
00-0040187,Mitchell Evans,TE,CAR,0.0,0.0,1.7612447171548258,4.070203389788675,7.078826297332011,2.8608679927704936,0.05005,0.01205,0.0023,0.0–4.1,0.0–7.1,0.2796092401646972,low,14,1,0,0,0.0644009763009812,0.0027472527472527,30.294117647058822,27.11764705882353,CHI,0.9794210384078916,prior_points_allowed,12.355786422827284,12.652930716937783,walk_forward_conformal
00-0040363,Keleki Latu,TE,BUF,0.0,0.0,1.7961343796541582,4.098502017532521,6.85844893447564,2.841339983303232,0.0434,0.00905,0.0012,0.0–4.1,0.0–6.9,0.3914892263255931,medium,3,1,0,0,0.0468253968253968,0.0,29.11764705882353,32.1764705882353,HOU,0.9776224291519824,prior_points_allowed,12.32981589582398,12.652930716937783,walk_forward_conformal
00-0038640,Jalen Brooks,WR,ARI,0.0,0.0,1.9292304578713964,5.678122402651849,10.21427918029259,2.8246992230804966,0.0468,0.0098,0.00245,0.0–5.7,0.0–10.2,0.2199740349499442,low,20,1,0,0,0.0507702216725719,0.0,38.1764705882353,21.529411764705884,LAC,0.9582457411854371,prior_points_allowed,30.77283504102543,32.31249226456602,walk_forward_conformal
00-0040581,Dont'e Thornton Jr.,WR,LV,0.0,0.0,1.953893333838504,5.692127837139028,9.9092310447756,2.821839463733788,0.03905,0.00655,0.0011,0.0–5.7,0.0–9.9,0.310203101749945,low,11,1,0,0,0.0994778626192629,0.0,30.294117647058822,21.705882352941178,MIA,0.9780494484500668,prior_points_allowed,31.50308201004205,32.31249226456602,walk_forward_conformal
00-0040225,Thomas Fidone II,TE,NYG,0.0,0.0,1.712313269786086,4.073408619127415,6.770297547649221,2.82158227120343,0.0453,0.0087,0.0019,0.0–4.1,0.0–6.8,0.51,medium,1,1,0,0,0.0,0.0,30.941176470588236,30.058823529411764,DAL,0.92,prior_points_allowed,11.15582969343185,12.652930716937783,walk_forward_conformal
00-0040131,Kyle Williams,WR,NE,0.0,0.0,1.8398880175163717,5.6974740470760725,10.4297989320883,2.8157286250120848,0.0532,0.0122,0.00285,0.0–5.7,0.0–10.4,0.2842747573090344,low,14,1,0,0,0.0504038449235493,0.0045638945233265,29.529411764705884,29.058823529411764,SEA,0.9416783806690948,prior_points_allowed,30.161925950116338,32.31249226456602,walk_forward_conformal
00-0039074,Davis Allen,TE,LA,0.0,0.0,1.601335869023946,3.908200688173951,7.201848344353154,2.8072875303134266,0.0513,0.0123,0.00275,0.0–3.9,0.0–7.2,0.1321786852534572,low,29,1,0,0,0.0586283870661784,0.0,35.1764705882353,27.352941176470587,SF,0.9728324516884684,prior_points_allowed,12.260652324774464,12.652930716937783,walk_forward_conformal
00-0038951,Sean Tucker,RB,TB,0.0,0.0,1.2731935070314009,5.021740502276085,10.537717969113691,2.78317563553488,0.03675,0.0108,0.0015,0.0–5.0,0.0–10.5,0.0935227773134106,low,37,1,0,0,0.0193605794795525,0.1465971332573289,32.8235294117647,27.764705882352946,CIN,1.08,prior_points_allowed,24.59580560885006,21.913128667046664,walk_forward_conformal
00-0032104,Ameer Abdullah,RB,JAX,0.0,0.0,1.7434826333249978,5.825832361978508,9.003736507948783,2.774135461956359,0.0248,0.00305,0.0002,0.0–5.8,0.0–9.0,0.3278892283875347,low,77,0,1,0,0.0614805517794594,0.0794544518119643,33.11764705882353,28.764705882352946,CLE,0.9690551520909164,prior_points_allowed,21.139298689635467,21.913128667046664,walk_forward_conformal
00-0038618,Xavier Hutchinson,WR,HOU,0.0,0.0,1.884285146168086,5.495434402355473,9.506203042465522,2.7293807330834388,0.03325,0.00575,0.001,0.0–5.5,0.0–9.5,0.1085908042041013,low,42,1,0,0,0.0874623345356818,0.0059592915229256,34.23529411764706,27.941176470588236,BUF,0.9272328471125204,prior_points_allowed,29.625305904804673,32.31249226456602,walk_forward_conformal
